"Buque";"Matricula";"Fecha";"Latitud";"Longitud";"Velocidad";"Rumbo"
"CAPESANTE";"02929";"2025-10-29 00:08:00";"-54,8103";"-68,29705";"0,1";"0"
"CAPESANTE";"02929";"2025-10-29 00:23:00";"-54,81035";"-68,2970666667";"0,0";"0"
"CAPESANTE";"02929";"2025-10-29 00:37:00";"-54,8104333333";"-68,2969333333";"0,0";"0"
"CAPESANTE";"02929";"2025-10-29 00:38:00";"-54,8104333333";"-68,2972";"0,1";"0"
"CAPESANTE";"02929";"2025-10-29 00:53:00";"-54,81035";"-68,2971333333";"0,0";"0"
"CAPESANTE";"02929";"2025-10-29 01:08:00";"-54,8103";"-68,2972";"0,0";"347"
"CAPESANTE";"02929";"2025-10-29 01:23:00";"-54,8103333333";"-68,2971";"0,2";"0"
"CAPESANTE";"02929";"2025-10-29 01:37:00";"-54,8103833333";"-68,2970833333";"0,0";"0"
"CAPESANTE";"02929";"2025-10-29 01:38:00";"-54,8102833333";"-68,2971";"0,1";"0"
"CAPESANTE";"02929";"2025-10-29 01:53:00";"-54,8104166667";"-68,2971";"0,0";"0"
"CAPESANTE";"02929";"2025-10-29 02:08:00";"-54,81025";"-68,2970666667";"0,0";"0"
"CAPESANTE";"02929";"2025-10-29 02:23:00";"-54,8103166667";"-68,2970833333";"0,2";"0"
"CAPESANTE";"02929";"2025-10-29 02:37:00";"-54,8103";"-68,2971333333";"0,0";"0"
"CAPESANTE";"02929";"2025-10-29 02:38:00";"-54,8104";"-68,29715";"0,0";"0"
"CAPESANTE";"02929";"2025-10-29 03:08:00";"-54,80975";"-68,2975666667";"0,0";"227"
"CAPESANTE";"02929";"2025-10-29 03:37:00";"-54,8103833333";"-68,2970833333";"0,0";"0"
"CAPESANTE";"02929";"2025-10-29 03:38:00";"-54,81035";"-68,2971333333";"0,0";"148"
"CAPESANTE";"02929";"2025-10-29 03:53:00";"-54,8103833333";"-68,2971333333";"0,0";"74"
"CAPESANTE";"02929";"2025-10-29 04:08:00";"-54,81035";"-68,2969666667";"0,1";"0"
"CAPESANTE";"02929";"2025-10-29 04:23:00";"-54,8102333333";"-68,2969333333";"0,0";"0"
"CAPESANTE";"02929";"2025-10-29 04:37:00";"-54,8104333333";"-68,2971333333";"0,0";"0"
"CAPESANTE";"02929";"2025-10-29 04:38:00";"-54,8102333333";"-68,2969666667";"0,1";"202"
"CAPESANTE";"02929";"2025-10-29 04:53:00";"-54,8102166667";"-68,2969666667";"0,3";"180"
"CAPESANTE";"02929";"2025-10-29 05:08:00";"-54,8102666667";"-68,2969333333";"0,1";"0"
"CAPESANTE";"02929";"2025-10-29 05:23:00";"-54,8103833333";"-68,297";"0,3";"277"
"CAPESANTE";"02929";"2025-10-29 05:37:00";"-54,8103833333";"-68,2971";"0,0";"0"
"CAPESANTE";"02929";"2025-10-29 05:38:00";"-54,81025";"-68,2969";"0,1";"217"
"CAPESANTE";"02929";"2025-10-29 05:53:00";"-54,8103666667";"-68,2970666667";"0,1";"0"
"CAPESANTE";"02929";"2025-10-29 06:08:00";"-54,8104833333";"-68,2971166667";"0,2";"196"
"CAPESANTE";"02929";"2025-10-29 06:23:00";"-54,8103333333";"-68,29705";"0,0";"0"
"CAPESANTE";"02929";"2025-10-29 06:37:00";"-54,8103166667";"-68,2970166667";"0,0";"0"
"CAPESANTE";"02929";"2025-10-29 06:38:00";"-54,81035";"-68,29695";"0,0";"0"
"CAPESANTE";"02929";"2025-10-29 06:53:00";"-54,8102833333";"-68,2970833333";"0,0";"175"
"CAPESANTE";"02929";"2025-10-29 07:08:00";"-54,8103666667";"-68,2970333333";"0,3";"304"
"CAPESANTE";"02929";"2025-10-29 07:23:00";"-54,8103";"-68,2970333333";"0,1";"0"
"CAPESANTE";"02929";"2025-10-29 07:37:00";"-54,81045";"-68,29715";"0,3";"47"
"CAPESANTE";"02929";"2025-10-29 07:38:00";"-54,81035";"-68,2969166667";"0,0";"0"
"CAPESANTE";"02929";"2025-10-29 07:53:00";"-54,8103166667";"-68,2970166667";"0,0";"0"
"CAPESANTE";"02929";"2025-10-29 08:08:00";"-54,8103";"-68,29695";"0,4";"0"
"CAPESANTE";"02929";"2025-10-29 08:23:00";"-54,8103333333";"-68,2969333333";"0,0";"38"
"CAPESANTE";"02929";"2025-10-29 08:37:00";"-54,8103833333";"-68,2971166667";"0,0";"0"
"CAPESANTE";"02929";"2025-10-29 08:38:00";"-54,8104";"-68,29715";"0,0";"225"
"CAPESANTE";"02929";"2025-10-29 08:53:00";"-54,8103166667";"-68,297";"0,0";"218"
"CAPESANTE";"02929";"2025-10-29 09:08:00";"-54,8105";"-68,29735";"0,6";"111"
"CAPESANTE";"02929";"2025-10-29 09:23:00";"-54,8103833333";"-68,2971";"0,0";"225"
"CAPESANTE";"02929";"2025-10-29 09:37:00";"-54,8103666667";"-68,2971166667";"0,0";"0"
"CAPESANTE";"02929";"2025-10-29 09:38:00";"-54,8103833333";"-68,2971";"0,0";"0"
"CAPESANTE";"02929";"2025-10-29 09:53:00";"-54,8103666667";"-68,2970833333";"0,0";"358"
"CAPESANTE";"02929";"2025-10-29 10:08:00";"-54,8103666667";"-68,29705";"0,0";"0"
"CAPESANTE";"02929";"2025-10-29 10:22:00";"-54,8102666667";"-68,2970166667";"0,1";"0"
"CAPESANTE";"02929";"2025-10-29 10:37:00";"-54,8105";"-68,29715";"0,2";"0"
"CAPESANTE";"02929";"2025-10-29 10:52:00";"-54,8104666667";"-68,2969166667";"0,0";"348"
"CAPESANTE";"02929";"2025-10-29 11:07:00";"-54,81015";"-68,2969333333";"0,1";"261"
"CAPESANTE";"02929";"2025-10-29 11:22:00";"-54,8103666667";"-68,2971";"0,0";"53"
"CAPESANTE";"02929";"2025-10-29 11:37:00";"-54,8103166667";"-68,2969333333";"0,0";"0"
"CAPESANTE";"02929";"2025-10-29 11:52:00";"-54,8103833333";"-68,29715";"0,1";"4"
"CAPESANTE";"02929";"2025-10-29 12:07:00";"-54,8103666667";"-68,2970666667";"0,0";"208"
"CAPESANTE";"02929";"2025-10-29 12:22:00";"-54,8104";"-68,2971";"0,1";"0"
"CAPESANTE";"02929";"2025-10-29 12:37:00";"-54,8101166667";"-68,2967666667";"0,0";"206"
