"Buque";"Matricula";"Fecha";"Latitud";"Longitud";"Velocidad";"Rumbo"
"TAI AN";"01530";"2025-04-17 00:00:00";"-54,8102166667";"-68,29755";"0,0";"0"
"TAI AN";"01530";"2025-04-17 00:04:00";"-54,8102666667";"-68,29745";"0,0";"230"
"TAI AN";"01530";"2025-04-17 00:15:00";"-54,8102166667";"-68,29755";"0,0";"0"
"TAI AN";"01530";"2025-04-17 00:19:00";"-54,8102833333";"-68,29745";"0,0";"230"
"TAI AN";"01530";"2025-04-17 00:30:00";"-54,8103833333";"-68,29755";"0,0";"0"
"TAI AN";"01530";"2025-04-17 00:34:00";"-54,8102833333";"-68,2974333333";"0,0";"230"
"TAI AN";"01530";"2025-04-17 00:45:00";"-54,8103833333";"-68,29755";"0,0";"0"
"TAI AN";"01530";"2025-04-17 00:49:00";"-54,8102833333";"-68,29745";"0,0";"230"
"TAI AN";"01530";"2025-04-17 01:00:00";"-54,8103833333";"-68,29755";"0,0";"0"
"TAI AN";"01530";"2025-04-17 01:04:00";"-54,8103";"-68,2974666667";"0,0";"230"
"TAI AN";"01530";"2025-04-17 01:15:00";"-54,8103833333";"-68,29755";"0,0";"0"
"TAI AN";"01530";"2025-04-17 01:19:00";"-54,8102833333";"-68,2974833333";"0,0";"230"
"TAI AN";"01530";"2025-04-17 01:30:00";"-54,8102166667";"-68,2973833333";"0,0";"0"
"TAI AN";"01530";"2025-04-17 01:34:00";"-54,8103166667";"-68,2974833333";"0,0";"230"
"TAI AN";"01530";"2025-04-17 01:45:00";"-54,8103833333";"-68,2977166667";"0,0";"0"
"TAI AN";"01530";"2025-04-17 01:49:00";"-54,81025";"-68,2974666667";"0,0";"230"
"TAI AN";"01530";"2025-04-17 02:00:00";"-54,8103833333";"-68,29755";"0,0";"0"
"TAI AN";"01530";"2025-04-17 02:04:00";"-54,8102666667";"-68,2974666667";"0,0";"212"
"TAI AN";"01530";"2025-04-17 02:15:00";"-54,8102166667";"-68,29755";"0,0";"0"
"TAI AN";"01530";"2025-04-17 02:19:00";"-54,8103";"-68,2974166667";"0,0";"212"
"TAI AN";"01530";"2025-04-17 02:30:00";"-54,8103833333";"-68,2973833333";"0,0";"0"
"TAI AN";"01530";"2025-04-17 02:34:00";"-54,8102833333";"-68,29745";"0,0";"212"
"TAI AN";"01530";"2025-04-17 02:45:00";"-54,8102166667";"-68,2973833333";"0,0";"0"
"TAI AN";"01530";"2025-04-17 02:49:00";"-54,81025";"-68,2974666667";"0,0";"212"
"TAI AN";"01530";"2025-04-17 03:00:00";"-54,8102166667";"-68,29755";"0,0";"0"
"TAI AN";"01530";"2025-04-17 03:04:00";"-54,8102833333";"-68,2974166667";"0,0";"212"
"TAI AN";"01530";"2025-04-17 03:15:00";"-54,8103833333";"-68,29755";"0,0";"0"
"TAI AN";"01530";"2025-04-17 03:19:00";"-54,8102833333";"-68,2974333333";"0,0";"212"
"TAI AN";"01530";"2025-04-17 03:30:00";"-54,8102166667";"-68,29755";"0,0";"0"
"TAI AN";"01530";"2025-04-17 03:34:00";"-54,8103";"-68,2974333333";"0,0";"212"
"TAI AN";"01530";"2025-04-17 03:45:00";"-54,8102166667";"-68,29755";"0,0";"0"
"TAI AN";"01530";"2025-04-17 03:49:00";"-54,8103";"-68,2974";"0,0";"212"
"TAI AN";"01530";"2025-04-17 04:00:00";"-54,8103833333";"-68,29755";"0,0";"0"
"TAI AN";"01530";"2025-04-17 04:04:00";"-54,8102833333";"-68,2974333333";"0,0";"212"
"TAI AN";"01530";"2025-04-17 04:15:00";"-54,8103833333";"-68,29755";"0,0";"0"
"TAI AN";"01530";"2025-04-17 04:19:00";"-54,8103";"-68,2974166667";"0,0";"212"
"TAI AN";"01530";"2025-04-17 04:30:00";"-54,8103833333";"-68,29755";"0,0";"0"
"TAI AN";"01530";"2025-04-17 04:34:00";"-54,8102833333";"-68,2974";"0,0";"212"
"TAI AN";"01530";"2025-04-17 04:45:00";"-54,8103833333";"-68,29755";"0,1";"0"
"TAI AN";"01530";"2025-04-17 04:49:00";"-54,8102666667";"-68,2974333333";"0,0";"212"
"TAI AN";"01530";"2025-04-17 05:00:00";"-54,8103833333";"-68,29755";"0,0";"0"
"TAI AN";"01530";"2025-04-17 05:04:00";"-54,8102833333";"-68,2974333333";"0,0";"212"
"TAI AN";"01530";"2025-04-17 05:15:00";"-54,8103833333";"-68,29755";"0,1";"0"
"TAI AN";"01530";"2025-04-17 05:19:00";"-54,8103166667";"-68,2974";"0,0";"212"
"TAI AN";"01530";"2025-04-17 05:30:00";"-54,8103833333";"-68,29755";"0,0";"0"
"TAI AN";"01530";"2025-04-17 05:34:00";"-54,8102833333";"-68,2974333333";"0,0";"212"
"TAI AN";"01530";"2025-04-17 05:45:00";"-54,8103833333";"-68,2973833333";"0,0";"0"
"TAI AN";"01530";"2025-04-17 05:49:00";"-54,8103";"-68,2974333333";"0,0";"212"
"TAI AN";"01530";"2025-04-17 06:00:00";"-54,8103833333";"-68,29755";"0,0";"0"
"TAI AN";"01530";"2025-04-17 06:04:00";"-54,8103";"-68,29745";"0,0";"212"
"TAI AN";"01530";"2025-04-17 06:15:00";"-54,8103833333";"-68,29755";"0,1";"0"
"TAI AN";"01530";"2025-04-17 06:19:00";"-54,8103";"-68,2974833333";"0,0";"212"
"TAI AN";"01530";"2025-04-17 06:30:00";"-54,8103833333";"-68,29755";"0,0";"0"
