"Buque";"Matricula";"Fecha";"Latitud";"Longitud";"Velocidad";"Rumbo"
"PIONEROS";"02735";"2025-01-07 00:02:00";"-49,1521666667";"-67,1825";"0,5";"355"
"PIONEROS";"02735";"2025-01-07 00:17:00";"-49,1486666667";"-67,1783333333";"0,5";"20"
"PIONEROS";"02735";"2025-01-07 00:32:00";"-49,1453333333";"-67,1746666667";"0,5";"200"
"PIONEROS";"02735";"2025-01-07 00:47:00";"-49,1413333333";"-67,173";"0,5";"10"
"PIONEROS";"02735";"2025-01-07 01:02:00";"-49,1378333333";"-67,1703333333";"1,1";"60"
"PIONEROS";"02735";"2025-01-07 01:17:00";"-49,1345";"-67,1678333333";"1,6";"35"
"PIONEROS";"02735";"2025-01-07 01:32:00";"-49,1311666667";"-67,1645";"1,1";"25"
"PIONEROS";"02735";"2025-01-07 01:47:00";"-49,138";"-67,1633333333";"8,1";"175"
"PIONEROS";"02735";"2025-01-07 02:02:00";"-49,1411666667";"-67,1625";"1,1";"25"
"PIONEROS";"02735";"2025-01-07 02:17:00";"-49,1366666667";"-67,1583333333";"2,7";"10"
"PIONEROS";"02735";"2025-01-07 02:32:00";"-49,1328333333";"-67,1538333333";"1,1";"5"
"PIONEROS";"02735";"2025-01-07 02:47:00";"-49,1288333333";"-67,1495";"1,1";"30"
"PIONEROS";"02735";"2025-01-07 03:02:00";"-49,128";"-67,1513333333";"6,5";"230"
"PIONEROS";"02735";"2025-01-07 03:17:00";"-49,1613333333";"-67,1738333333";"2,7";"105"
"PIONEROS";"02735";"2025-01-07 03:32:00";"-49,1586666667";"-67,1696666667";"1,1";"10"
"PIONEROS";"02735";"2025-01-07 03:47:00";"-49,1538333333";"-67,1645";"2,2";"50"
"PIONEROS";"02735";"2025-01-07 04:02:00";"-49,1491666667";"-67,1591666667";"1,6";"25"
"PIONEROS";"02735";"2025-01-07 04:17:00";"-49,1445";"-67,1541666667";"1,1";"25"
"PIONEROS";"02735";"2025-01-07 04:32:00";"-49,15";"-67,1575";"9,2";"195"
"PIONEROS";"02735";"2025-01-07 04:47:00";"-49,1628333333";"-67,1553333333";"0,0";"355"
"PIONEROS";"02735";"2025-01-07 05:02:00";"-49,1578333333";"-67,1503333333";"1,1";"35"
"PIONEROS";"02735";"2025-01-07 05:17:00";"-49,1525";"-67,1466666667";"1,1";"0"
"PIONEROS";"02735";"2025-01-07 05:32:00";"-49,1466666667";"-67,1425";"1,6";"35"
"PIONEROS";"02735";"2025-01-07 05:47:00";"-49,1416666667";"-67,1396666667";"0,5";"340"
"PIONEROS";"02735";"2025-01-07 06:02:00";"-49,1425";"-67,1666666667";"9,7";"260"
"PIONEROS";"02735";"2025-01-07 06:17:00";"-49,1486666667";"-67,2258333333";"9,2";"260"
"PIONEROS";"02735";"2025-01-07 06:32:00";"-49,1545";"-67,2838333333";"9,2";"260"
"PIONEROS";"02735";"2025-01-07 06:47:00";"-49,16";"-67,3408333333";"8,6";"260"
"PIONEROS";"02735";"2025-01-07 07:02:00";"-49,1658333333";"-67,3958333333";"8,1";"255"
"PIONEROS";"02735";"2025-01-07 07:17:00";"-49,1736666667";"-67,4483333333";"8,6";"250"
"PIONEROS";"02735";"2025-01-07 07:32:00";"-49,1821666667";"-67,5016666667";"8,1";"245"
"PIONEROS";"02735";"2025-01-07 07:47:00";"-49,1916666667";"-67,5546666667";"8,1";"255"
"PIONEROS";"02735";"2025-01-07 08:02:00";"-49,21";"-67,5986666667";"8,1";"210"
"PIONEROS";"02735";"2025-01-07 08:17:00";"-49,2328333333";"-67,6355";"9,2";"230"
"PIONEROS";"02735";"2025-01-07 08:32:00";"-49,2603333333";"-67,6803333333";"9,7";"200"
"PIONEROS";"02735";"2025-01-07 08:47:00";"-49,2925";"-67,7108333333";"8,6";"225"
"PIONEROS";"02735";"2025-01-07 09:02:00";"-49,2996666667";"-67,7203333333";"0,0";"150"
"PIONEROS";"02735";"2025-01-07 09:17:00";"-49,2996666667";"-67,7203333333";"0,0";"150"
"PIONEROS";"02735";"2025-01-07 09:32:00";"-49,2996666667";"-67,7203333333";"0,0";"150"
"PIONEROS";"02735";"2025-01-07 09:47:00";"-49,2996666667";"-67,7203333333";"0,0";"150"
"PIONEROS";"02735";"2025-01-07 10:02:00";"-49,2996666667";"-67,7203333333";"0,0";"150"
"PIONEROS";"02735";"2025-01-07 10:17:00";"-49,2996666667";"-67,7203333333";"0,0";"150"
"PIONEROS";"02735";"2025-01-07 10:32:00";"-49,2996666667";"-67,7203333333";"0,0";"150"
"PIONEROS";"02735";"2025-01-07 10:47:00";"-49,2996666667";"-67,7203333333";"0,0";"150"
"PIONEROS";"02735";"2025-01-07 11:02:00";"-49,2996666667";"-67,7203333333";"0,0";"150"
"PIONEROS";"02735";"2025-01-07 11:17:00";"-49,2996666667";"-67,7203333333";"0,0";"150"
"PIONEROS";"02735";"2025-01-07 11:32:00";"-49,2996666667";"-67,7203333333";"0,0";"290"
"PIONEROS";"02735";"2025-01-07 11:47:00";"-49,2996666667";"-67,7203333333";"0,0";"290"
"PIONEROS";"02735";"2025-01-07 12:02:00";"-49,2996666667";"-67,7203333333";"0,0";"290"
"PIONEROS";"02735";"2025-01-07 12:17:00";"-49,2996666667";"-67,7203333333";"0,0";"290"
"PIONEROS";"02735";"2025-01-07 12:32:00";"-49,2996666667";"-67,7203333333";"0,0";"290"
"PIONEROS";"02735";"2025-01-07 12:47:00";"-49,2996666667";"-67,7203333333";"0,0";"290"
"PIONEROS";"02735";"2025-01-07 13:02:00";"-49,2996666667";"-67,7203333333";"0,0";"290"
"PIONEROS";"02735";"2025-01-07 13:17:00";"-49,2996666667";"-67,7203333333";"0,0";"290"
"PIONEROS";"02735";"2025-01-07 13:32:00";"-49,2996666667";"-67,7203333333";"0,0";"290"
"PIONEROS";"02735";"2025-01-07 13:47:00";"-49,2996666667";"-67,7203333333";"0,0";"290"
"PIONEROS";"02735";"2025-01-07 14:02:00";"-49,2996666667";"-67,7203333333";"0,0";"290"
"PIONEROS";"02735";"2025-01-07 14:17:00";"-49,2996666667";"-67,7203333333";"0,0";"290"
"PIONEROS";"02735";"2025-01-07 14:32:00";"-49,2996666667";"-67,7203333333";"0,0";"290"
"PIONEROS";"02735";"2025-01-07 14:47:00";"-49,2996666667";"-67,7203333333";"0,0";"290"
"PIONEROS";"02735";"2025-01-07 15:02:00";"-49,2996666667";"-67,7203333333";"0,0";"205"
"PIONEROS";"02735";"2025-01-07 15:17:00";"-49,2996666667";"-67,7203333333";"0,0";"205"
"PIONEROS";"02735";"2025-01-07 15:32:00";"-49,2996666667";"-67,7203333333";"0,0";"205"
"PIONEROS";"02735";"2025-01-07 15:47:00";"-49,2996666667";"-67,7203333333";"0,0";"205"
"PIONEROS";"02735";"2025-01-07 16:02:00";"-49,2996666667";"-67,7203333333";"0,0";"205"
"PIONEROS";"02735";"2025-01-07 16:17:00";"-49,2996666667";"-67,7203333333";"0,0";"205"
"PIONEROS";"02735";"2025-01-07 16:32:00";"-49,2996666667";"-67,7203333333";"0,0";"205"
"PIONEROS";"02735";"2025-01-07 16:47:00";"-49,2996666667";"-67,7203333333";"0,0";"205"
"PIONEROS";"02735";"2025-01-07 17:02:00";"-49,2996666667";"-67,7203333333";"0,0";"205"
"PIONEROS";"02735";"2025-01-07 17:17:00";"-49,2996666667";"-67,7203333333";"0,0";"205"
"PIONEROS";"02735";"2025-01-07 17:32:00";"-49,2996666667";"-67,7203333333";"0,0";"205"
"PIONEROS";"02735";"2025-01-07 17:47:00";"-49,2996666667";"-67,7203333333";"0,0";"205"
"PIONEROS";"02735";"2025-01-07 18:02:00";"-49,2996666667";"-67,7203333333";"0,0";"205"
"PIONEROS";"02735";"2025-01-07 18:17:00";"-49,2996666667";"-67,7203333333";"0,0";"205"
"PIONEROS";"02735";"2025-01-07 18:32:00";"-49,2996666667";"-67,7203333333";"0,0";"205"
"PIONEROS";"02735";"2025-01-07 18:47:00";"-49,2996666667";"-67,7203333333";"0,0";"205"
"PIONEROS";"02735";"2025-01-07 18:56:00";"-49,2996666667";"-67,7203333333";"0,0";"0"
"PIONEROS";"02735";"2025-01-07 19:11:00";"-49,2996666667";"-67,7203333333";"0,0";"305"
"PIONEROS";"02735";"2025-01-07 19:26:00";"-49,2938333333";"-67,7138333333";"6,5";"50"
"PIONEROS";"02735";"2025-01-07 19:41:00";"-49,2728333333";"-67,688";"6,5";"25"
"PIONEROS";"02735";"2025-01-07 19:56:00";"-49,2491666667";"-67,6688333333";"7,0";"50"
"PIONEROS";"02735";"2025-01-07 20:11:00";"-49,2311666667";"-67,633";"7,6";"50"
"PIONEROS";"02735";"2025-01-07 20:26:00";"-49,2163333333";"-67,592";"7,0";"80"
"PIONEROS";"02735";"2025-01-07 20:41:00";"-49,2125";"-67,5436666667";"4,3";"85"
"PIONEROS";"02735";"2025-01-07 20:56:00";"-49,2086666667";"-67,4953333333";"6,5";"85"
"PIONEROS";"02735";"2025-01-07 21:11:00";"-49,203";"-67,4486666667";"9,7";"90"
"PIONEROS";"02735";"2025-01-07 21:26:00";"-49,198";"-67,4";"5,4";"70"
"PIONEROS";"02735";"2025-01-07 21:41:00";"-49,1961666667";"-67,3488333333";"5,4";"95"
"PIONEROS";"02735";"2025-01-07 21:56:00";"-49,1983333333";"-67,2996666667";"8,1";"95"
"PIONEROS";"02735";"2025-01-07 22:11:00";"-49,2053333333";"-67,2496666667";"7,0";"95"
"PIONEROS";"02735";"2025-01-07 22:26:00";"-49,2045";"-67,2138333333";"4,9";"15"
"PIONEROS";"02735";"2025-01-07 22:41:00";"-49,2263333333";"-67,2213333333";"5,4";"205"
"PIONEROS";"02735";"2025-01-07 22:56:00";"-49,2491666667";"-67,235";"5,9";"215"
"PIONEROS";"02735";"2025-01-07 23:11:00";"-49,2521666667";"-67,22";"5,4";"65"
"PIONEROS";"02735";"2025-01-07 23:26:00";"-49,2471666667";"-67,1936666667";"3,8";"80"
"PIONEROS";"02735";"2025-01-07 23:41:00";"-49,2336666667";"-67,1805";"4,3";"10"
"PIONEROS";"02735";"2025-01-07 23:56:00";"-49,2183333333";"-67,1696666667";"3,2";"85"
"PIONEROS";"02735";"2025-01-08 00:11:00";"-49,2441666667";"-67,1811666667";"5,9";"195"
"PIONEROS";"02735";"2025-01-08 00:26:00";"-49,2433333333";"-67,2025";"3,2";"345"
"PIONEROS";"02735";"2025-01-08 00:41:00";"-49,232";"-67,1958333333";"3,2";"30"
"PIONEROS";"02735";"2025-01-08 00:56:00";"-49,2203333333";"-67,187";"4,3";"35"
"PIONEROS";"02735";"2025-01-08 01:11:00";"-49,2091666667";"-67,1771666667";"4,9";"45"
"PIONEROS";"02735";"2025-01-08 01:26:00";"-49,1983333333";"-67,168";"3,2";"20"
"PIONEROS";"02735";"2025-01-08 01:41:00";"-49,1886666667";"-67,1591666667";"4,3";"20"
"PIONEROS";"02735";"2025-01-08 01:56:00";"-49,2063333333";"-67,1746666667";"7,6";"205"
"PIONEROS";"02735";"2025-01-08 02:11:00";"-49,2345";"-67,1986666667";"7,0";"195"
"PIONEROS";"02735";"2025-01-08 02:26:00";"-49,2505";"-67,2103333333";"4,3";"15"
"PIONEROS";"02735";"2025-01-08 02:41:00";"-49,2355";"-67,1938333333";"2,7";"35"
"PIONEROS";"02735";"2025-01-08 02:56:00";"-49,23";"-67,1845";"7,0";"185"
"PIONEROS";"02735";"2025-01-08 03:11:00";"-49,2463333333";"-67,1995";"2,2";"85"
"PIONEROS";"02735";"2025-01-08 03:26:00";"-49,2403333333";"-67,1855";"4,3";"60"
"PIONEROS";"02735";"2025-01-08 03:41:00";"-49,2325";"-67,1695";"2,7";"40"
"PIONEROS";"02735";"2025-01-08 03:56:00";"-49,2238333333";"-67,1688333333";"5,4";"210"
"PIONEROS";"02735";"2025-01-08 04:11:00";"-49,24";"-67,19";"3,2";"340"
"PIONEROS";"02735";"2025-01-08 04:26:00";"-49,2358333333";"-67,1896666667";"2,2";"45"
"PIONEROS";"02735";"2025-01-08 04:41:00";"-49,2311666667";"-67,187";"1,6";"355"
"PIONEROS";"02735";"2025-01-08 04:56:00";"-49,2255";"-67,1841666667";"3,2";"5"
"PIONEROS";"02735";"2025-01-08 05:11:00";"-49,22";"-67,1808333333";"1,1";"85"
"PIONEROS";"02735";"2025-01-08 05:26:00";"-49,2171666667";"-67,18";"2,7";"65"
"PIONEROS";"02735";"2025-01-08 05:41:00";"-49,2396666667";"-67,2055";"3,8";"240"
"PIONEROS";"02735";"2025-01-08 05:56:00";"-49,2333333333";"-67,2046666667";"1,1";"55"
"PIONEROS";"02735";"2025-01-08 06:11:00";"-49,2291666667";"-67,202";"2,2";"60"
"PIONEROS";"02735";"2025-01-08 06:26:00";"-49,2245";"-67,1988333333";"1,1";"30"
