"Buque";"Matricula";"Fecha";"Latitud";"Longitud";"Velocidad";"Rumbo"
"UR ERTZA";"6508";"2025-11-03 00:11:00";"-38,0463333333";"-57,5386666667";"0,0";"285"
"UR ERTZA";"6508";"2025-11-03 00:26:00";"-38,0463333333";"-57,5386666667";"0,0";"285"
"UR ERTZA";"6508";"2025-11-03 00:41:00";"-38,0463333333";"-57,5386666667";"0,0";"285"
"UR ERTZA";"6508";"2025-11-03 00:56:00";"-38,0463333333";"-57,5386666667";"0,0";"285"
"UR ERTZA";"6508";"2025-11-03 01:11:00";"-38,0463333333";"-57,5386666667";"0,0";"285"
"UR ERTZA";"6508";"2025-11-03 01:26:00";"-38,0463333333";"-57,5386666667";"0,0";"285"
"UR ERTZA";"6508";"2025-11-03 01:41:00";"-38,0463333333";"-57,5386666667";"0,0";"285"
"UR ERTZA";"6508";"2025-11-03 01:56:00";"-38,0463333333";"-57,5386666667";"0,0";"285"
"UR ERTZA";"6508";"2025-11-03 02:11:00";"-38,0463333333";"-57,5386666667";"0,0";"240"
"UR ERTZA";"6508";"2025-11-03 02:26:00";"-38,0463333333";"-57,5386666667";"0,0";"240"
"UR ERTZA";"6508";"2025-11-03 02:41:00";"-38,0463333333";"-57,5386666667";"0,0";"240"
"UR ERTZA";"6508";"2025-11-03 02:56:00";"-38,0463333333";"-57,5386666667";"0,0";"240"
"UR ERTZA";"6508";"2025-11-03 03:11:00";"-38,0463333333";"-57,5386666667";"0,0";"240"
"UR ERTZA";"6508";"2025-11-03 03:26:00";"-38,0463333333";"-57,5386666667";"0,0";"240"
"UR ERTZA";"6508";"2025-11-03 03:41:00";"-38,0463333333";"-57,5386666667";"0,0";"240"
"UR ERTZA";"6508";"2025-11-03 03:56:00";"-38,0463333333";"-57,5386666667";"0,0";"240"
"UR ERTZA";"6508";"2025-11-03 04:11:00";"-38,0463333333";"-57,5386666667";"0,0";"240"
"UR ERTZA";"6508";"2025-11-03 04:26:00";"-38,0463333333";"-57,5386666667";"0,0";"240"
"UR ERTZA";"6508";"2025-11-03 04:41:00";"-38,0463333333";"-57,5386666667";"0,0";"240"
"UR ERTZA";"6508";"2025-11-03 04:56:00";"-38,0463333333";"-57,5386666667";"0,0";"240"
"UR ERTZA";"6508";"2025-11-03 05:11:00";"-38,0463333333";"-57,5386666667";"0,0";"240"
"UR ERTZA";"6508";"2025-11-03 05:26:00";"-38,0463333333";"-57,5386666667";"0,0";"240"
"UR ERTZA";"6508";"2025-11-03 05:41:00";"-38,0463333333";"-57,5386666667";"0,0";"240"
"UR ERTZA";"6508";"2025-11-03 05:56:00";"-38,0463333333";"-57,5386666667";"0,0";"340"
"UR ERTZA";"6508";"2025-11-03 06:11:00";"-38,0463333333";"-57,5386666667";"0,0";"345"
"UR ERTZA";"6508";"2025-11-03 06:26:00";"-38,0463333333";"-57,5386666667";"0,0";"345"
"UR ERTZA";"6508";"2025-11-03 06:41:00";"-38,0463333333";"-57,5386666667";"0,0";"345"
"UR ERTZA";"6508";"2025-11-03 06:56:00";"-38,0463333333";"-57,5386666667";"0,0";"345"
"UR ERTZA";"6508";"2025-11-03 07:11:00";"-38,0463333333";"-57,5386666667";"0,0";"345"
"UR ERTZA";"6508";"2025-11-03 07:26:00";"-38,0463333333";"-57,5386666667";"0,0";"345"
"UR ERTZA";"6508";"2025-11-03 07:41:00";"-38,0463333333";"-57,5386666667";"0,0";"345"
"UR ERTZA";"6508";"2025-11-03 07:57:00";"-38,0463333333";"-57,5386666667";"0,0";"345"
"UR ERTZA";"6508";"2025-11-03 08:12:00";"-38,0463333333";"-57,5386666667";"0,0";"20"
"UR ERTZA";"6508";"2025-11-03 08:27:00";"-38,0463333333";"-57,5386666667";"0,0";"20"
"UR ERTZA";"6508";"2025-11-03 08:42:00";"-38,0463333333";"-57,5386666667";"0,0";"20"
"UR ERTZA";"6508";"2025-11-03 08:57:00";"-38,0463333333";"-57,5386666667";"0,0";"20"
"UR ERTZA";"6508";"2025-11-03 09:11:00";"-38,0463333333";"-57,5386666667";"0,0";"20"
"UR ERTZA";"6508";"2025-11-03 09:27:00";"-38,0463333333";"-57,5386666667";"0,0";"20"
"UR ERTZA";"6508";"2025-11-03 09:42:00";"-38,0463333333";"-57,5386666667";"0,0";"20"
"UR ERTZA";"6508";"2025-11-03 09:57:00";"-38,0463333333";"-57,5386666667";"0,0";"20"
"UR ERTZA";"6508";"2025-11-03 10:12:00";"-38,0463333333";"-57,5386666667";"0,0";"20"
"UR ERTZA";"6508";"2025-11-03 10:26:00";"-38,0463333333";"-57,5386666667";"0,0";"20"
"UR ERTZA";"6508";"2025-11-03 10:42:00";"-38,0463333333";"-57,5386666667";"0,0";"20"
"UR ERTZA";"6508";"2025-11-03 10:56:00";"-38,0463333333";"-57,5386666667";"0,0";"20"
"UR ERTZA";"6508";"2025-11-03 11:12:00";"-38,0463333333";"-57,5386666667";"0,0";"20"
"UR ERTZA";"6508";"2025-11-03 11:27:00";"-38,0463333333";"-57,5386666667";"0,0";"20"
"UR ERTZA";"6508";"2025-11-03 11:42:00";"-38,0463333333";"-57,5386666667";"0,0";"20"
"UR ERTZA";"6508";"2025-11-03 11:57:00";"-38,0463333333";"-57,5386666667";"0,0";"20"
"UR ERTZA";"6508";"2025-11-03 12:12:00";"-38,0463333333";"-57,5386666667";"0,0";"20"
"UR ERTZA";"6508";"2025-11-03 12:27:00";"-38,0463333333";"-57,5386666667";"0,0";"20"
"UR ERTZA";"6508";"2025-11-03 12:42:00";"-38,0463333333";"-57,5386666667";"0,0";"20"
"UR ERTZA";"6508";"2025-11-03 12:57:00";"-38,0463333333";"-57,5386666667";"0,0";"20"
"UR ERTZA";"6508";"2025-11-03 13:12:00";"-38,0463333333";"-57,5386666667";"0,0";"170"
"UR ERTZA";"6508";"2025-11-03 13:27:00";"-38,0463333333";"-57,5386666667";"0,0";"100"
"UR ERTZA";"6508";"2025-11-03 13:42:00";"-38,0463333333";"-57,5386666667";"0,0";"100"
"UR ERTZA";"6508";"2025-11-03 13:57:00";"-38,0463333333";"-57,5386666667";"0,0";"100"
"UR ERTZA";"6508";"2025-11-03 14:12:00";"-38,0463333333";"-57,5386666667";"0,0";"100"
"UR ERTZA";"6508";"2025-11-03 14:27:00";"-38,0463333333";"-57,5386666667";"0,0";"100"
